条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.208,27,24,5,0,0,1,0,0,1,2,0,.240
1-0より,.600,6,5,3,0,0,0,0,0,0,1,0,.600
2-0より,.500,6,4,2,0,0,1,0,2,0,0,0,.667
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,.400,26,25,10,2,0,0,0,0,0,0,1,.385
1-1より,.111,18,18,2,0,0,0,0,0,0,0,0,.111
2-1より,.750,4,4,3,0,0,0,0,0,0,0,0,.750
3-1より,.000,4,2,0,0,0,0,0,2,0,0,0,.500
0-2より,.158,20,19,3,0,0,0,14,0,0,0,1,.150
1-2より,.093,43,43,4,1,0,0,23,0,0,0,0,.093
2-2より,.300,31,30,9,3,0,1,11,0,0,1,0,.300
3-2より,.263,29,19,5,1,0,0,10,9,0,0,1,.483
