球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,655,42.0%,146.5,31,122,137,221,44.3%,9.9%,.277,155,43,1,17,20,5
スライダー,229,14.7%,130.4,28,42,34,83,45.4%,26.9%,.264,53,14,2,11,3,0
カットボール,143,9.2%,135.9,13,20,27,41,42.0%,15.9%,.304,46,14,1,5,4,0
チェンジアップ,119,7.6%,128.7,14,14,16,44,37.0%,23.0%,.350,40,14,1,9,0,0
カーブ,107,6.9%,117.1,10,18,15,42,40.2%,21.3%,.154,26,4,0,4,0,1
フォーク,101,6.5%,137.2,13,7,24,38,43.6%,23.2%,.240,25,6,0,6,0,1
ツーシーム,77,4.9%,140.5,5,11,14,24,39.0%,11.9%,.409,22,9,1,1,1,0
シュート,37,2.4%,144.3,2,6,3,15,29.7%,12.5%,.300,10,3,0,0,0,1
スプリット,34,2.2%,136.9,4,4,6,16,41.2%,28.6%,.143,7,1,0,3,0,0
ナックルカーブ,24,1.5%,127.5,3,4,4,9,45.8%,27.3%,.286,7,2,0,3,0,0
シンカー,9,0.6%,135.0,0,1,3,2,44.4%,0.0%,.333,3,1,0,0,0,0
縦スライダー,7,0.4%,125.1,1,0,1,4,28.6%,33.3%,1.000,1,1,0,0,0,0
パワーカーブ,6,0.4%,123.7,0,2,1,2,50.0%,0.0%,.000,1,0,0,0,0,1
ワンシーム,6,0.4%,144.7,1,1,0,2,33.3%,33.3%,.500,2,1,0,0,1,0
パーム,2,0.1%,118.5,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
スラーブ,1,0.1%,107.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,86.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
