球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
横浜,3.42,30,0,30,3,3,5,13,8,16,3,3,26.1,24,4,27,14,0,12,10,1.44,0.245,-,2.19
東京ドーム,4.50,2,0,2,0,0,0,2,0,2,0,0,2.0,2,0,3,0,0,1,1,1.0,0.25,-,2.00
甲子園,0.00,3,0,3,0,0,1,0,1,0,0,0,3.0,0,0,4,0,0,0,0,0.0,0.0,-,99.00
マツダスタジアム,4.50,2,0,2,0,0,0,1,0,1,0,0,2.0,1,0,0,1,1,1,1,1.0,0.167,-,2.00
神宮,6.23,5,0,5,0,0,0,1,0,1,0,0,4.1,3,1,3,3,0,3,3,1.38,0.188,-,1.44
バンテリンドーム,0.00,5,0,5,0,0,0,4,0,4,0,0,5.0,1,0,3,0,0,0,0,0.2,0.063,-,99.00
Ce その他,9.00,1,0,1,0,0,0,0,0,0,0,0,1.0,2,1,2,0,0,1,1,2.0,0.4,-,1.00
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,0.00,1,0,1,0,0,0,1,0,1,0,0,1.0,0,0,2,0,0,0,0,0.0,0.0,-,99.00
京セラD大阪,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,1,0,0,0,1.0,0.0,-,99.00
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
