条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.211,22,19,4,2,0,1,0,3,0,0,0,0.318
1-0より,.278,18,18,5,1,0,1,0,0,0,0,0,0.278
2-0より,.417,12,12,5,2,0,2,0,0,0,0,0,0.417
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.250,12,12,3,1,0,1,0,0,0,0,0,0.25
1-1より,.250,24,24,6,1,0,3,0,0,0,0,0,0.25
2-1より,.450,20,20,9,2,0,4,0,0,0,0,0,0.45
3-1より,.250,17,8,2,1,0,1,0,9,0,0,0,0.647
0-2より,.214,14,14,3,0,0,1,6,0,0,0,0,0.214
1-2より,.108,37,37,4,1,0,1,21,0,0,0,0,0.108
2-2より,.147,34,34,5,1,0,2,18,0,0,0,0,0.147
3-2より,.192,45,26,5,0,0,3,14,19,0,0,0,0.533
