条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.500,12,6,3,1,0,0,0,0,2,4,0,0.625
1-0より,.143,7,7,1,0,0,0,0,0,0,0,0,0.143
2-0より,1.000,2,2,2,0,0,0,0,0,0,0,0,1.0
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.500,8,8,4,0,0,0,0,0,0,0,0,0.5
1-1より,.286,8,7,2,0,0,1,0,0,0,1,0,0.286
2-1より,.286,7,7,2,0,0,0,0,0,0,0,0,0.286
3-1より,1.000,4,2,2,1,0,0,0,2,0,0,0,1.0
0-2より,.000,6,6,0,0,0,0,2,0,0,0,0,0.0
1-2より,.111,18,18,2,0,0,0,8,0,0,0,0,0.111
2-2より,.091,11,11,1,1,0,0,6,0,0,0,0,0.091
3-2より,.200,10,5,1,1,0,0,3,5,0,0,0,0.6
