条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.250,19,16,4,0,0,1,0,3,0,0,0,0.368
1-0より,.500,20,20,10,4,0,4,0,0,0,0,0,0.5
2-0より,.286,7,7,2,1,0,0,0,0,0,0,0,0.286
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.174,23,23,4,1,0,0,0,0,0,0,0,0.174
1-1より,.450,20,20,9,0,0,3,0,0,0,0,0,0.45
2-1より,.500,16,16,8,1,0,1,0,0,0,0,0,0.5
3-1より,.200,12,5,1,0,0,0,0,7,0,0,0,0.667
0-2より,.125,8,8,1,0,0,0,3,0,0,0,0,0.125
1-2より,.121,34,33,4,2,0,0,17,0,1,0,0,0.147
2-2より,.152,33,33,5,1,0,0,14,0,0,0,0,0.152
3-2より,.289,52,38,11,4,0,2,11,14,0,0,0,0.481
