条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.357,17,14,5,1,0,1,0,0,1,2,0,.400
1-0より,.500,4,2,1,1,0,0,0,0,0,2,0,.500
2-0より,.000,1,1,0,0,0,0,0,0,0,0,0,.000
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.000
0-1より,.364,11,11,4,1,0,0,0,0,0,0,0,.364
1-1より,.214,15,14,3,1,0,0,0,0,0,1,0,.214
2-1より,.125,8,8,1,0,0,0,0,0,0,0,0,.125
3-1より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-2より,.231,13,13,3,1,0,0,6,0,0,0,0,.231
1-2より,.059,17,17,1,0,0,0,9,0,0,0,0,.059
2-2より,.067,15,15,1,0,0,0,8,0,0,0,0,.067
3-2より,.200,7,5,1,0,0,0,2,2,0,0,0,.429
