条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.341,47,41,14,4,0,0,0,2,2,2,0,0.4
1-0より,.435,23,23,10,4,0,1,0,0,0,0,0,0.435
2-0より,.000,4,3,0,0,0,0,0,0,0,0,1,0.0
3-0より,-,5,0,0,0,0,0,0,5,0,0,0,1.0
0-1より,.391,27,23,9,0,0,1,0,0,0,2,2,0.36
1-1より,.297,41,37,11,5,1,1,0,0,2,0,2,0.317
2-1より,.214,14,14,3,0,0,0,0,0,0,0,0,0.214
3-1より,.333,10,6,2,0,0,0,0,3,0,0,1,0.5
0-2より,.185,27,27,5,0,0,0,12,0,0,0,0,0.185
1-2より,.207,59,58,12,4,1,0,12,0,0,0,1,0.203
2-2より,.217,60,60,13,1,0,0,11,0,0,0,0,0.217
3-2より,.143,27,21,3,1,0,0,5,6,0,0,0,0.333
