球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,42,36.5%,146.3,4,3,14,14,50.0%,16.0%,0.25,8,2,0,1,0,0
スライダー,21,18.3%,128.3,3,3,2,8,38.1%,30.0%,0.286,7,2,1,2,1,0
フォーク,16,13.9%,136.7,2,2,4,5,50.0%,22.2%,0.0,3,0,0,1,0,0
カットボール,10,8.7%,135.4,2,1,5,1,80.0%,25.0%,0.0,1,0,0,0,0,0
ナックルカーブ,6,5.2%,125.4,0,2,0,3,33.3%,0.0%,0.0,1,0,0,0,0,0
ツーシーム,6,5.2%,134.6,0,1,0,2,16.7%,0.0%,0.0,3,0,0,0,0,0
カーブ,5,4.3%,116.0,1,1,1,1,60.0%,33.3%,0.0,2,0,0,1,0,0
スプリット,4,3.5%,141.7,1,0,1,1,50.0%,33.3%,1.0,1,1,1,0,0,0
チェンジアップ,4,3.5%,134.5,0,1,0,1,25.0%,0.0%,0.0,2,0,0,0,0,0
スクリュー,1,0.9%,134.0,1,0,0,0,100.0%,100.0%,0.0,1,0,0,1,0,0
