条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.300,21,20,6,0,0,0,0,0,0,1,0,0.3
1-0より,.231,14,13,3,0,0,0,0,0,0,1,0,0.231
2-0より,.167,6,6,1,0,0,0,0,0,0,0,0,0.167
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.0
0-1より,.421,20,19,8,2,1,1,0,0,0,0,1,0.4
1-1より,.250,20,20,5,2,0,0,0,0,0,0,0,0.25
2-1より,.222,10,9,2,0,0,0,0,0,0,0,1,0.2
3-1より,.000,8,3,0,0,0,0,0,5,0,0,0,0.625
0-2より,.087,23,23,2,0,0,0,12,0,0,0,0,0.087
1-2より,.242,34,33,8,3,0,1,14,0,1,0,0,0.265
2-2より,.344,32,32,11,0,0,2,8,0,0,0,0,0.344
3-2より,.235,39,34,8,2,0,1,12,5,0,0,0,0.333
