球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
横浜,.276,43,105,98,13,27,3,0,3,39,10,7,3,1,3,0,1,1,0,1,.314,.398,0.712
東京ドーム,.167,6,7,6,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,.286,.333,0.619
甲子園,.000,3,8,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,.125,.000,0.125
マツダスタジアム,.091,5,12,11,2,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,.167,.091,0.258
神宮,.444,5,20,18,3,8,1,0,1,12,6,1,1,0,0,0,1,0,0,1,.450,.667,1.117
バンテリンドーム,.000,3,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
Ce その他,.333,2,8,6,0,2,0,0,0,2,1,0,1,0,0,0,1,0,0,0,.375,.333,0.708
みずほPayPay,.375,3,8,8,0,3,0,0,0,3,1,1,0,0,0,0,0,0,1,0,.375,.375,0.75
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,1.000,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.0
京セラD大阪,.091,5,12,11,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,.167,.091,0.258
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,.000,1,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
