球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
横浜,1.52,11,11,0,4,1,0,0,0,0,0,0,71.0,53,3,61,21,1,13,12,1.04,0.205,3.91,-
東京ドーム,3.00,2,2,0,1,1,0,0,0,0,0,0,12.0,10,1,9,2,0,4,4,1.0,0.233,3.86,-
甲子園,1.42,3,3,0,1,2,0,0,0,0,0,0,19.0,11,1,17,5,0,3,3,0.84,0.164,1.23,-
マツダスタジアム,2.25,2,2,0,1,0,0,0,0,0,0,0,12.0,8,1,10,2,2,3,3,0.83,0.186,5.79,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,2.57,2,2,0,1,1,0,0,0,0,0,0,14.0,11,2,11,3,0,4,4,1.0,0.224,1.69,-
Ce その他,0.00,1,1,0,0,0,0,0,0,0,0,0,7.0,3,0,3,5,0,0,0,1.14,0.158,1.29,-
みずほPayPay,6.00,1,1,0,0,1,0,0,0,0,0,0,6.0,8,0,5,2,0,4,4,1.67,0.364,1.29,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,0.00,1,1,0,0,0,0,0,0,0,0,0,7.0,4,0,8,1,0,0,0,0.71,0.154,2.25,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,0.00,1,1,0,1,0,0,0,0,0,0,0,7.0,3,0,6,0,0,0,0,0.43,0.12,3.38,-
