球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
横浜,.209,47,125,115,14,24,3,0,1,30,7,30,6,2,2,1,1,1,0,3,.258,.261,0.519
東京ドーム,.150,7,21,20,2,3,1,0,0,4,0,10,0,0,0,1,0,0,0,0,.150,.200,0.35
甲子園,.286,3,8,7,1,2,0,0,0,2,1,2,1,1,0,0,0,0,0,1,.375,.286,0.661
マツダスタジアム,.235,7,18,17,1,4,1,0,0,5,1,6,1,0,0,0,0,0,0,2,.278,.294,0.572
神宮,.286,6,10,7,1,2,0,0,0,2,1,3,1,0,2,0,0,0,0,0,.500,.286,0.786
バンテリンドーム,.235,7,17,17,1,4,0,1,0,6,2,5,0,0,0,0,0,0,0,0,.235,.353,0.588
Ce その他,.000,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
みずほPayPay,.333,2,3,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333,.333,0.667
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.500,2,4,4,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,.500,.500,1.0
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
