条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.200,11,10,2,0,0,0,0,0,1,0,0,.273
1-0より,.500,4,4,2,1,0,0,0,0,0,0,0,.500
2-0より,.000,1,1,0,0,0,0,0,0,0,0,0,.000
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,.500,5,4,2,2,0,0,0,0,0,1,0,.500
1-1より,.250,4,4,1,0,0,0,0,0,0,0,0,.250
2-1より,.000,2,1,0,0,0,0,0,0,0,1,0,.000
3-1より,.000,4,2,0,0,0,0,0,2,0,0,0,.500
0-2より,.167,12,12,2,0,0,0,7,0,0,0,0,.167
1-2より,.176,17,17,3,0,0,1,11,0,0,0,0,.176
2-2より,.071,14,14,1,0,0,0,8,0,0,0,0,.071
3-2より,.143,12,7,1,0,0,0,5,5,0,0,0,.500
