条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.377,65,61,23,5,0,1,0,0,2,1,1,0.391
1-0より,0.486,39,35,17,5,0,3,0,0,1,1,2,0.474
2-0より,0.143,8,7,1,0,0,0,0,1,0,0,0,0.25
3-0より,0.0,4,1,0,0,0,0,0,3,0,0,0,0.75
0-1より,0.25,40,40,10,2,0,2,0,0,0,0,0,0.25
1-1より,0.324,35,34,11,2,1,1,0,0,1,0,0,0.343
2-1より,0.417,12,12,5,2,0,0,0,0,0,0,0,0.417
3-1より,0.333,15,9,3,0,0,0,0,6,0,0,0,0.6
0-2より,0.267,45,45,12,3,0,0,19,0,0,0,0,0.267
1-2より,0.228,94,92,21,5,1,0,36,0,1,0,1,0.234
2-2より,0.205,76,73,15,2,1,0,34,0,3,0,0,0.237
3-2より,0.184,53,38,7,2,0,0,13,15,0,0,0,0.415
