条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.273,12,11,3,1,0,0,0,1,0,0,0,0.333
1-0より,.800,6,5,4,1,0,0,0,0,1,0,0,0.833
2-0より,.333,3,3,1,1,0,0,0,0,0,0,0,0.333
3-0より,-,3,0,0,0,0,0,0,3,0,0,0,1.0
0-1より,.000,6,6,0,0,0,0,0,0,0,0,0,0.0
1-1より,.500,8,8,4,1,0,1,0,0,0,0,0,0.5
2-1より,.000,4,4,0,0,0,0,0,0,0,0,0,0.0
3-1より,1.000,3,1,1,0,0,0,0,2,0,0,0,1.0
0-2より,.000,6,6,0,0,0,0,4,0,0,0,0,0.0
1-2より,.214,14,14,3,1,0,0,7,0,0,0,0,0.214
2-2より,.364,11,11,4,1,1,0,1,0,0,0,0,0.364
3-2より,.250,10,4,1,0,0,0,2,6,0,0,0,0.7
