条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.286,53,49,14,3,0,3,0,2,1,0,1,0.321
1-0より,.526,20,19,10,3,0,0,0,0,0,0,1,0.5
2-0より,.000,6,6,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,9,0,0,0,0,0,0,9,0,0,0,1.0
0-1より,.300,54,50,15,2,0,0,0,0,2,0,2,0.315
1-1より,.282,39,39,11,1,0,1,0,0,0,0,0,0.282
2-1より,.394,33,33,13,3,0,2,0,0,0,0,0,0.394
3-1より,.333,23,9,3,1,0,1,0,14,0,0,0,0.739
0-2より,.175,40,40,7,0,0,1,16,0,0,0,0,0.175
1-2より,.219,97,96,21,3,0,0,25,0,1,0,0,0.227
2-2より,.182,88,88,16,3,0,3,28,0,0,0,0,0.182
3-2より,.182,63,44,8,1,0,2,12,18,1,0,0,0.429
