条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.455,15,11,5,0,0,1,0,0,0,4,0,.455
1-0より,.500,4,4,2,0,1,0,0,0,0,0,0,.500
2-0より,.500,2,2,1,0,0,0,0,0,0,0,0,.500
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,.636,11,11,7,0,1,1,0,0,0,0,0,.636
1-1より,.143,9,7,1,0,0,0,0,0,0,2,0,.143
2-1より,.000,3,3,0,0,0,0,0,0,0,0,0,.000
3-1より,1.000,3,1,1,0,0,0,0,2,0,0,0,1.000
0-2より,.000,7,7,0,0,0,0,3,0,0,0,0,.000
1-2より,.143,14,14,2,1,0,0,7,0,0,0,0,.143
2-2より,.200,15,15,3,0,0,0,6,0,0,0,0,.200
3-2より,.188,24,16,3,0,0,0,5,8,0,0,0,.458
