球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
京セラD大阪,3.00,9,0,9,1,0,1,0,2,1,1,0,9.0,7,0,9,0,0,3,3,0.78,0.219,-,3.00
みずほPayPay,0.00,2,0,2,1,0,0,0,1,1,1,0,2.0,0,0,1,0,0,0,0,0.0,0.0,-,99.00
エスコンＦ,33.75,2,0,2,0,0,0,0,0,0,0,0,1.1,2,1,1,4,0,5,5,4.5,0.333,-,0.27
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0.0,0.0,-,99.00
Pa その他,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0.0,0.0,-,99.00
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
