球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
京セラD大阪,.237,45,162,139,18,33,5,0,1,41,10,12,14,1,6,2,1,2,2,3,.331,.295,0.626
みずほPayPay,.227,12,45,44,0,10,1,0,0,11,0,10,1,0,0,0,0,0,0,0,.244,.250,0.494
エスコンＦ,.270,9,38,37,5,10,1,1,2,19,7,5,1,0,0,0,0,0,1,1,.289,.514,0.803
ZOZOマリン,.250,8,36,32,1,8,3,0,0,11,3,8,4,0,0,0,0,0,0,0,.333,.344,0.677
楽天モバイル,.286,9,37,35,1,10,0,0,0,10,0,3,2,0,0,0,0,0,1,1,.324,.286,0.61
ベルーナドーム,.048,5,22,21,1,1,0,0,1,4,3,6,0,0,1,0,0,1,0,0,.091,.190,0.281
Pa その他,.214,4,18,14,2,3,0,0,1,6,1,2,2,0,1,1,0,0,0,1,.353,.429,0.782
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,.154,3,15,13,2,2,0,0,1,5,2,1,1,0,1,0,0,0,0,0,.267,.385,0.651
バンテリンドーム,.357,3,15,14,3,5,2,0,0,7,2,1,1,0,0,0,0,0,0,0,.400,.500,0.9
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
