球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
京セラD大阪,.327,43,180,168,12,55,7,1,2,70,15,26,7,1,2,2,1,3,1,0,.360,.417,0.776
みずほPayPay,.304,6,25,23,0,7,1,0,0,8,0,5,1,0,0,1,0,0,0,0,.333,.348,0.681
エスコンＦ,.250,10,44,44,6,11,2,0,1,16,5,8,0,0,0,0,0,0,0,0,.250,.364,0.614
ZOZOマリン,.500,6,28,26,2,13,5,0,0,18,4,4,2,0,0,0,0,0,0,0,.536,.692,1.228
楽天モバイル,.267,7,33,30,1,8,2,0,0,10,0,6,3,0,0,0,0,0,0,0,.333,.333,0.667
ベルーナドーム,.200,10,43,40,2,8,3,0,0,11,5,2,3,0,0,0,0,0,0,0,.256,.275,0.531
Pa その他,.263,5,20,19,2,5,1,0,1,9,4,3,0,0,0,1,0,0,0,0,.263,.474,0.737
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,.083,3,12,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.083,.083,0.167
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,.462,3,14,13,3,6,1,0,1,10,5,2,1,1,0,0,0,0,0,0,.500,.769,1.269
バンテリンドーム,.500,3,13,12,1,6,1,0,0,7,2,4,1,0,0,0,0,1,0,0,.538,.583,1.122
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
