条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.308,15,13,4,0,0,0,0,2,0,0,0,0.4
1-0より,0.455,13,11,5,1,1,1,0,0,1,1,0,0.5
2-0より,0.5,5,4,2,0,0,0,0,1,0,0,0,0.6
3-0より,0.0,3,1,0,0,0,0,0,2,0,0,0,0.667
0-1より,0.167,7,6,1,0,0,0,0,0,0,1,0,0.167
1-1より,0.235,18,17,4,0,0,0,0,0,0,1,0,0.235
2-1より,0.167,6,6,1,0,0,0,0,0,0,0,0,0.167
3-1より,0.0,6,3,0,0,0,0,0,3,0,0,0,0.5
0-2より,0.222,9,9,2,0,0,0,4,0,0,0,0,0.222
1-2より,0.25,21,20,5,0,0,0,7,0,1,0,0,0.286
2-2より,0.133,15,15,2,0,0,0,4,0,0,0,0,0.133
3-2より,0.4,20,15,6,0,0,0,3,5,0,0,0,0.55
