球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
京セラD大阪,1.88,16,0,16,1,1,4,1,5,2,1,1,14.1,9,0,15,6,0,4,3,1.05,0.184,-,3.58
みずほPayPay,2.70,4,0,4,0,0,0,2,0,2,0,0,3.1,2,1,4,1,0,1,1,0.9,0.154,-,3.33
エスコンＦ,0.00,4,0,4,0,0,1,0,1,0,0,0,4.0,0,0,3,1,0,0,0,0.25,0.0,-,99.00
ZOZOマリン,11.57,3,0,3,1,0,0,1,1,2,1,0,2.1,3,0,5,3,0,3,3,2.57,0.333,-,0.78
楽天モバイル,0.00,5,0,5,0,0,4,0,4,0,0,0,5.0,3,0,6,1,0,0,0,0.8,0.188,-,99.00
ベルーナドーム,0.00,2,0,2,0,0,1,0,1,0,0,0,1.1,3,0,2,0,0,0,0,2.25,0.429,-,99.00
Pa その他,0.00,1,0,1,0,0,1,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0.0,0.0,-,99.00
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0,-,99.00
バンテリンドーム,0.00,2,0,2,0,0,0,0,0,0,0,0,1.2,0,0,1,0,0,0,0,0.0,0.0,-,99.00
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
