条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.125,12,8,1,1,0,0,0,2,2,0,0,0.417
1-0より,.600,5,5,3,1,0,0,0,0,0,0,0,0.6
2-0より,.500,3,2,1,1,0,0,0,0,1,0,0,0.667
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.0
0-1より,.625,9,8,5,1,0,0,0,0,0,1,0,0.625
1-1より,.556,10,9,5,2,0,1,0,0,1,0,0,0.6
2-1より,.750,4,4,3,0,0,0,0,0,0,0,0,0.75
3-1より,.000,5,2,0,0,0,0,0,3,0,0,0,0.6
0-2より,.000,7,7,0,0,0,0,4,0,0,0,0,0.0
1-2より,.174,23,23,4,0,0,0,10,0,0,0,0,0.174
2-2より,.188,16,16,3,1,0,0,9,0,0,0,0,0.188
3-2より,.333,8,6,2,1,0,1,2,2,0,0,0,0.5
