球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,268,48.8%,147.2,25,41,61,74,47.4%,16.3%,.200,75,15,2,15,4,1
スライダー,79,14.4%,130.9,20,9,21,20,63.3%,40.0%,.188,16,3,1,7,0,2
フォーク,55,10.0%,135.9,14,5,10,17,52.7%,42.4%,.308,13,4,0,4,0,0
カットボール,53,9.7%,137.6,12,6,10,13,52.8%,35.3%,.167,12,2,0,1,0,0
チェンジアップ,31,5.6%,125.4,9,5,0,11,45.2%,60.0%,.286,7,2,1,1,0,1
カーブ,19,3.5%,117.7,5,1,1,8,36.8%,50.0%,.200,5,1,0,1,0,0
ツーシーム,16,2.9%,143.9,1,2,0,5,18.8%,11.1%,.375,8,3,0,0,0,0
スプリット,12,2.2%,136.2,4,2,1,3,58.3%,57.1%,.333,3,1,0,2,0,0
シュート,5,0.9%,146.0,0,0,2,1,40.0%,0.0%,.000,1,0,0,0,0,0
ナックルカーブ,4,0.7%,125.8,0,0,0,4,0.0%,-%,-,0,0,0,0,0,0
縦スライダー,2,0.4%,128.0,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,2,0.4%,121.0,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
スクリュー,2,0.4%,126.5,1,0,0,1,50.0%,100.0%,-,0,0,0,0,0,0
シンカー,1,0.2%,130.0,0,0,0,0,0.0%,0.0%,1.000,1,1,0,0,0,0
