条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.368,21,19,7,1,0,0,0,0,0,1,1,.350
1-0より,.571,7,7,4,2,0,0,0,0,0,0,0,.571
2-0より,.000,5,5,0,0,0,0,0,0,0,0,0,.000
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,.273,12,11,3,0,0,1,0,0,0,1,0,.273
1-1より,.125,9,8,1,1,0,0,0,0,0,0,1,.111
2-1より,.364,11,11,4,0,0,1,0,0,0,0,0,.364
3-1より,.000,4,2,0,0,0,0,0,2,0,0,0,.500
0-2より,.333,15,15,5,0,0,0,5,0,0,0,0,.333
1-2より,.176,17,17,3,0,0,0,6,0,0,0,0,.176
2-2より,.053,19,19,1,0,0,0,6,0,0,0,0,.053
3-2より,.222,12,9,2,0,0,0,2,3,0,0,0,.417
