球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.210,47,93,81,13,17,5,3,2,34,7,33,8,0,1,2,1,6,0,0,.286,.420,0.705
エスコンＦ,.000,7,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
ZOZOマリン,.385,11,29,26,3,10,1,0,2,17,5,8,1,0,0,2,0,1,0,0,.407,.654,1.061
楽天モバイル,.000,7,6,5,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,.167,.000,0.167
京セラD大阪,.235,11,20,17,2,4,0,0,0,4,1,6,1,0,0,2,0,0,0,0,.278,.235,0.513
ベルーナドーム,.257,11,40,35,6,9,1,2,1,17,4,13,2,0,0,3,0,2,2,0,.297,.486,0.783
Pa その他,.000,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
東京ドーム,.000,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
甲子園,.222,2,9,9,1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,.222,.222,0.444
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.250,3,4,4,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,.250,.250,0.5
神宮,.400,2,5,5,2,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,.400,.400,0.8
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
