球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.158,13,42,38,2,6,1,0,0,7,2,15,4,0,0,0,0,1,0,2,.238,.184,0.422
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,.375,2,9,8,2,3,0,0,1,6,3,2,0,0,0,0,1,0,0,0,.333,.750,1.083
楽天モバイル,.077,4,14,13,0,1,0,0,0,1,0,4,0,0,0,1,0,0,0,1,.077,.077,0.154
京セラD大阪,.444,4,10,9,0,4,0,0,0,4,1,1,1,0,0,0,0,0,0,1,.500,.444,0.944
ベルーナドーム,.294,7,19,17,2,5,1,0,0,6,1,6,2,0,0,0,0,0,0,1,.368,.353,0.721
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
