球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.289,36,149,121,14,35,6,0,5,56,16,22,26,2,0,0,2,0,0,0,.409,.463,0.872
エスコンＦ,.269,7,30,26,4,7,2,0,0,9,2,2,4,3,0,0,0,0,0,0,.367,.346,0.713
ZOZOマリン,.412,6,22,17,3,7,2,0,3,18,8,3,5,0,0,0,0,0,0,0,.545,1.059,1.604
楽天モバイル,.414,8,34,29,2,12,2,1,0,16,3,5,3,0,2,0,0,0,0,0,.500,.552,1.052
京セラD大阪,.278,5,21,18,1,5,0,0,1,8,5,4,3,0,0,0,0,0,0,0,.381,.444,0.825
ベルーナドーム,.294,5,23,17,2,5,4,0,0,9,4,4,6,0,0,0,0,0,0,0,.478,.529,1.008
Pa その他,.100,3,10,10,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.100,.100,0.2
東京ドーム,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.333,1,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,.333,1.333,1.667
神宮,.286,3,14,14,1,4,1,0,0,5,1,1,0,0,0,0,0,0,0,0,.286,.357,0.643
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
