球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.240,13,26,25,4,6,0,0,1,9,5,5,0,0,0,0,1,1,0,0,.231,.360,0.591
エスコンＦ,.250,1,4,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.250,.250,0.5
ZOZOマリン,.250,2,5,4,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,.400,.250,0.65
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.125,6,16,16,1,2,0,0,0,2,2,7,0,0,0,0,0,0,0,0,.125,.125,0.25
ベルーナドーム,.273,3,11,11,2,3,0,0,0,3,0,1,0,0,0,0,0,1,0,0,.273,.273,0.545
Pa その他,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
