球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,101,39.3%,147.5,8,27,22,29,56.4%,17.8%,.350,20,7,0,5,2,0
フォーク,30,11.7%,137.6,11,2,0,12,43.3%,68.8%,.000,7,0,0,2,0,0
スプリット,23,8.9%,139.8,2,3,3,12,34.8%,25.0%,.250,4,1,0,1,1,0
チェンジアップ,21,8.2%,129.9,6,3,1,8,47.6%,60.0%,.000,5,0,0,2,0,0
カットボール,20,7.8%,137.3,4,3,2,7,45.0%,40.0%,.167,6,1,0,2,0,1
スライダー,17,6.6%,132.3,2,5,1,7,47.1%,40.0%,.250,4,1,1,2,0,0
カーブ,13,5.1%,120.2,1,4,4,4,69.2%,20.0%,.000,1,0,0,1,0,0
ツーシーム,13,5.1%,147.7,0,3,2,5,38.5%,0.0%,.333,3,1,0,0,0,0
シンカー,6,2.3%,131.6,1,2,1,2,66.7%,50.0%,.000,1,0,0,1,1,0
縦スライダー,5,1.9%,132.8,1,0,1,2,40.0%,33.3%,.000,1,0,0,0,1,0
シュート,4,1.6%,137.0,0,2,0,2,50.0%,-%,-,0,0,0,0,0,0
ナックルカーブ,3,1.2%,123.0,0,0,1,1,33.3%,0.0%,.000,1,0,0,0,0,0
スクリュー,1,0.4%,132.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
