球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
みずほPayPay,2.77,13,0,13,1,1,5,2,6,3,1,1,13.0,11,1,7,2,1,4,4,1.0,0.234,-,3.25
エスコンＦ,0.00,3,0,3,1,0,0,1,1,2,1,0,3.0,0,0,4,0,0,0,0,0.0,0.0,-,99.00
ZOZOマリン,9.00,1,0,1,1,0,0,0,1,1,1,0,1.0,3,0,0,1,0,1,1,4.0,0.6,-,1.00
楽天モバイル,0.00,3,0,3,0,0,1,2,1,2,0,0,3.0,2,0,3,1,0,0,0,1.0,0.2,-,99.00
京セラD大阪,13.50,2,0,2,0,0,0,1,0,1,0,0,2.0,4,0,2,0,2,3,3,2.0,0.444,-,0.67
ベルーナドーム,0.00,2,0,2,0,0,0,2,0,2,0,0,2.0,0,0,0,0,0,0,0,0.0,0.0,-,99.00
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,18.00,1,0,1,0,0,0,0,0,0,0,0,1.0,2,0,0,1,0,2,2,3.0,0.667,-,0.50
神宮,18.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,1,0,1,0,2,2,2.0,0.25,-,0.50
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
