球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,80,35.1%,145.3,4,11,17,25,40.0%,9.1%,.440,25,11,0,2,0,2
スライダー,30,13.2%,127.6,7,9,3,9,63.3%,58.3%,.000,5,0,0,3,0,1
チェンジアップ,26,11.4%,129.3,7,3,2,11,46.2%,58.3%,.125,8,1,0,5,0,0
カットボール,26,11.4%,137.0,5,4,4,10,50.0%,41.7%,.000,6,0,0,3,1,0
ツーシーム,22,9.6%,137.3,4,2,2,10,36.4%,40.0%,.200,5,1,0,1,0,1
フォーク,18,7.9%,138.2,5,0,2,11,38.9%,71.4%,.000,1,0,0,1,0,0
カーブ,15,6.6%,116.8,1,3,1,8,33.3%,25.0%,.000,2,0,0,0,0,0
スプリット,8,3.5%,136.8,2,1,4,1,87.5%,33.3%,.000,2,0,0,2,0,0
ナックルカーブ,2,0.9%,114.0,0,0,1,0,50.0%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,1,0.4%,120.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
