球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.129,49,32,31,14,4,0,1,0,6,3,6,0,0,0,1,0,3,1,0,.129,.194,0.323
エスコンＦ,.000,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,0.0
ZOZOマリン,.500,6,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,1.0
楽天モバイル,.333,10,10,9,5,3,0,0,0,3,0,2,0,0,0,1,0,1,0,0,.333,.333,0.667
京セラD大阪,.188,12,17,16,4,3,1,0,0,4,2,1,1,0,0,0,0,1,0,0,.235,.250,0.485
ベルーナドーム,.417,11,14,12,1,5,1,0,0,6,1,3,2,0,0,0,0,3,1,0,.500,.500,1.0
Pa その他,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
東京ドーム,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
神宮,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
