球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,139,47.6%,148.1,8,29,27,51,46.0%,13.6%,.207,29,6,0,7,2,0
スライダー,29,9.9%,129.6,3,4,2,14,31.0%,27.3%,.143,7,1,0,1,0,0
フォーク,25,8.6%,136.5,3,1,4,10,32.0%,21.4%,.333,9,3,0,2,1,0
チェンジアップ,25,8.6%,129.6,3,4,3,5,40.0%,18.8%,.250,12,3,0,2,0,0
カットボール,17,5.8%,135.8,0,5,0,7,29.4%,0.0%,.000,5,0,0,0,0,0
カーブ,15,5.1%,117.9,0,4,2,7,40.0%,0.0%,.500,2,1,0,0,0,0
ツーシーム,9,3.1%,148.6,0,2,2,3,44.4%,0.0%,.500,2,1,0,0,0,0
縦スライダー,8,2.7%,127.8,0,4,1,3,62.5%,0.0%,-,0,0,0,0,0,0
スプリット,8,2.7%,138.6,0,1,1,2,25.0%,0.0%,.250,4,1,0,0,0,0
シンカー,6,2.1%,131.4,0,2,0,3,33.3%,0.0%,.000,1,0,0,0,0,0
シュート,6,2.1%,146.0,1,2,1,1,66.7%,33.3%,.000,1,0,0,0,0,0
ナックルカーブ,4,1.4%,122.0,0,2,0,0,50.0%,0.0%,.000,2,0,0,0,0,0
パワーカーブ,1,0.3%,119.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
