球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,826,45.3%,147.0,11,238,134,294,46.4%,3.7%,.250,160,40,2,14,20,0
スライダー,257,14.1%,129.3,21,64,31,101,45.1%,22.8%,.184,49,9,0,10,5,2
カットボール,165,9.0%,137.0,9,37,27,57,44.2%,12.7%,.289,38,11,0,3,7,0
フォーク,150,8.2%,136.0,20,13,23,60,37.3%,26.0%,.167,42,7,0,10,3,0
チェンジアップ,124,6.8%,132.5,13,16,14,63,34.7%,28.9%,.263,19,5,0,3,2,0
ツーシーム,86,4.7%,143.5,5,22,5,34,37.2%,16.7%,.261,23,6,0,3,5,0
カーブ,76,4.2%,117.2,3,24,4,36,40.8%,18.8%,.100,10,1,0,1,1,0
スプリット,59,3.2%,140.2,5,10,9,26,40.7%,21.7%,.250,12,3,0,3,3,0
シュート,22,1.2%,141.1,0,5,5,8,45.5%,0.0%,.250,4,1,0,0,0,0
シンカー,21,1.2%,131.2,0,6,0,10,28.6%,0.0%,.200,5,1,0,0,1,0
縦スライダー,17,0.9%,133.0,1,4,4,5,52.9%,12.5%,.333,3,1,0,0,0,0
ナックルカーブ,12,0.7%,126.6,1,5,1,3,58.3%,25.0%,1.000,2,2,1,0,0,0
パワーカーブ,5,0.3%,123.3,0,0,0,3,0.0%,0.0%,.500,2,1,0,0,1,0
高速スライダー,3,0.2%,136.0,1,0,0,1,33.3%,50.0%,.500,2,1,0,1,1,0
スローカーブ,1,0.1%,93.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
スクリュー,1,0.1%,136.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
