球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.285,57,198,186,17,53,7,3,3,75,21,29,5,0,0,6,1,5,2,2,.302,.403,0.705
エスコンＦ,.302,12,43,43,2,13,2,1,1,20,8,2,0,0,0,0,0,1,0,0,.302,.465,0.767
ZOZOマリン,.347,13,50,49,5,17,4,1,1,26,8,8,0,0,0,0,1,3,1,1,.340,.531,0.871
楽天モバイル,.222,7,30,27,1,6,0,0,0,6,1,6,0,0,1,2,0,0,0,1,.250,.222,0.472
京セラD大阪,.350,11,44,40,7,14,1,1,0,17,5,8,0,0,2,1,1,1,0,1,.372,.425,0.797
ベルーナドーム,.268,13,44,41,7,11,2,0,0,13,3,4,1,0,0,1,1,2,0,1,.279,.317,0.596
Pa その他,.500,3,10,10,2,5,0,0,0,5,1,3,0,0,0,0,0,0,1,0,.500,.500,1.0
東京ドーム,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
甲子園,.286,3,8,7,0,2,1,0,0,3,0,1,0,0,0,1,0,0,0,0,.286,.429,0.714
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.444,3,10,9,1,4,0,0,0,4,2,1,1,0,0,0,0,0,0,0,.500,.444,0.944
神宮,.400,2,5,5,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.400,.400,0.8
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
