条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.316,25,19,6,2,0,1,0,0,0,6,0,0.316
1-0より,.250,17,16,4,0,0,0,0,0,0,1,0,0.25
2-0より,.000,2,2,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.167,27,24,4,3,0,0,0,0,0,2,1,0.16
1-1より,.263,21,19,5,2,0,0,0,0,0,2,0,0.263
2-1より,.200,16,15,3,0,0,1,0,0,0,0,1,0.188
3-1より,.000,8,2,0,0,0,0,0,6,0,0,0,0.75
0-2より,.042,24,24,1,0,0,0,16,0,0,0,0,0.042
1-2より,.172,59,58,10,2,0,0,26,0,0,1,0,0.172
2-2より,.302,53,53,16,1,1,0,14,0,0,0,0,0.302
3-2より,.192,34,26,5,1,0,0,10,8,0,0,0,0.382
