守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,.177,18,72,62,4,11,2,0,0,13,4,16,6,0,0,4,0,1,0,1,.250,.210,0.46
三塁手,.344,18,73,64,7,22,4,1,2,34,11,11,6,0,0,2,1,1,2,1,.394,.531,0.926
遊撃手,.188,4,17,16,1,3,0,0,0,3,0,5,0,0,0,1,0,0,0,1,.188,.188,0.375
左翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
中堅手,.203,16,67,64,3,13,4,0,0,17,3,19,2,0,0,1,0,1,1,0,.227,.266,0.493
右翼手,.125,7,28,24,3,3,1,0,0,4,1,6,2,0,0,1,1,1,0,0,.185,.167,0.352
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.071,40,33,28,4,2,0,0,0,2,0,9,2,0,0,3,0,1,0,0,.133,.071,0.205
