球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,510,42.6%,146.6,43,92,122,176,50.4%,17.8%,.196,92,18,0,27,10,0
スライダー,158,13.2%,129.3,25,37,23,46,53.8%,33.3%,.212,33,7,2,6,1,0
カットボール,152,12.7%,136.3,19,28,31,44,51.3%,23.8%,.211,38,8,0,8,2,0
フォーク,85,7.1%,135.2,19,11,11,29,48.2%,42.2%,.286,21,6,0,6,2,0
カーブ,82,6.9%,117.1,7,17,7,41,37.8%,29.2%,.071,14,1,0,4,0,0
ツーシーム,68,5.7%,139.1,3,16,12,20,45.6%,9.4%,.235,17,4,0,0,0,0
チェンジアップ,65,5.4%,127.7,9,15,11,18,53.8%,28.1%,.235,17,4,0,5,2,0
スプリット,28,2.3%,139.0,8,4,4,6,57.1%,44.4%,.364,11,4,0,6,0,0
ナックルカーブ,23,1.9%,122.0,0,4,3,8,30.4%,0.0%,.125,8,1,0,0,0,0
シュート,11,0.9%,144.3,2,3,1,2,54.5%,33.3%,.333,3,1,0,1,0,0
スクリュー,5,0.4%,133.5,0,1,2,1,60.0%,0.0%,.000,1,0,0,0,0,0
シンカー,4,0.3%,130.8,0,0,2,2,50.0%,0.0%,-,0,0,0,0,1,0
スラーブ,2,0.2%,110.5,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
パーム,2,0.2%,110.0,2,0,0,0,100.0%,100.0%,.000,2,0,0,2,0,0
縦スライダー,1,0.1%,116.0,0,1,0,0,100.0%,-%,.000,1,0,0,1,0,0
