球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
神宮,3.64,6,5,1,3,3,0,0,1,1,1,0,29.2,24,3,27,11,2,14,12,1.18,0.22,6.00,2.00
東京ドーム,6.00,2,2,0,0,2,0,0,0,0,0,0,9.0,10,0,6,4,0,7,6,1.56,0.278,1.64,-
甲子園,3.00,1,1,0,0,1,0,0,0,0,0,0,6.0,7,1,6,2,0,2,2,1.5,0.304,0.00,-
横浜,0.00,1,1,0,1,0,0,0,0,0,0,0,7.0,4,0,2,1,0,1,0,0.71,0.182,2.25,-
マツダスタジアム,7.50,1,1,0,1,0,0,0,0,0,0,0,6.0,8,0,1,1,0,5,5,1.5,0.32,9.00,-
バンテリンドーム,4.09,2,2,0,1,1,0,0,0,0,0,0,11.0,7,0,10,7,1,5,5,1.27,0.184,3.46,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,8.10,1,1,0,0,1,0,0,0,0,0,0,6.2,8,0,6,3,1,6,6,1.65,0.32,1.29,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,1.29,1,1,0,1,0,0,0,0,0,0,0,7.0,2,0,3,1,0,1,1,0.43,0.091,4.50,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
