球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
神宮,.268,69,280,246,23,66,16,0,9,109,37,43,30,5,1,0,3,2,0,3,.346,.443,0.79
東京ドーム,.156,9,34,32,2,5,0,0,1,8,4,2,2,0,0,0,0,0,0,1,.206,.250,0.456
甲子園,.257,9,36,35,1,9,2,0,0,11,3,4,1,0,0,0,0,0,0,1,.278,.314,0.592
横浜,.261,12,47,46,5,12,0,0,2,18,4,6,1,0,0,0,0,1,0,0,.277,.391,0.668
マツダスタジアム,.240,13,54,50,2,12,2,0,0,14,7,5,3,1,0,0,1,0,0,1,.278,.280,0.558
バンテリンドーム,.235,12,53,51,2,12,0,0,1,15,6,8,1,0,0,0,1,0,0,0,.245,.294,0.539
Ce その他,.231,3,13,13,1,3,0,0,1,6,4,2,0,0,0,0,0,0,0,0,.231,.462,0.692
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,.333,3,12,12,0,4,0,0,0,4,0,2,0,0,0,0,0,0,1,0,.333,.333,0.667
ZOZOマリン,.167,3,13,12,1,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,.231,.167,0.397
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.211,5,20,19,1,4,1,0,0,5,1,2,1,0,0,0,0,0,0,1,.250,.263,0.513
ベルーナドーム,.500,3,12,12,0,6,1,0,0,7,1,0,0,0,0,0,0,1,0,0,.500,.583,1.083
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
