条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.481,32,27,13,3,0,0,0,2,0,2,1,0.5
1-0より,.583,13,12,7,1,1,0,0,0,1,0,0,0.615
2-0より,.250,5,4,1,0,0,0,0,1,0,0,0,0.4
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.182,18,11,2,0,0,0,0,0,2,4,1,0.286
1-1より,.222,9,9,2,0,0,1,0,0,0,0,0,0.222
2-1より,.100,10,10,1,0,0,0,0,0,0,0,0,0.1
3-1より,.333,9,3,1,0,0,1,0,6,0,0,0,0.778
0-2より,.200,5,5,1,0,0,0,2,0,0,0,0,0.2
1-2より,.192,27,26,5,0,0,0,11,0,1,0,0,0.222
2-2より,.200,20,20,4,1,0,0,5,0,0,0,0,0.2
3-2より,.136,30,22,3,1,0,0,6,8,0,0,0,0.367
