球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
神宮,2.42,24,0,24,1,1,7,8,8,9,1,1,22.1,22,2,21,10,1,6,6,1.43,0.268,-,3.72
東京ドーム,0.00,2,0,2,0,0,1,1,1,1,0,0,2.0,1,0,4,1,0,0,0,1.0,0.143,-,99.00
甲子園,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,1.0,0.25,-,99.00
横浜,3.86,5,0,5,0,1,1,3,1,3,0,1,4.2,7,0,3,1,0,2,2,1.71,0.35,-,2.33
マツダスタジアム,0.00,5,0,5,0,0,2,3,2,3,0,0,5.0,3,0,4,0,0,0,0,0.6,0.176,-,99.00
バンテリンドーム,0.00,3,0,3,0,0,2,1,2,1,0,0,4.0,2,0,7,0,0,0,0,0.5,0.154,-,99.00
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,0.00,2,0,2,0,0,2,0,2,0,0,0,2.0,0,0,2,0,0,0,0,0.0,0.0,-,99.00
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,0.00,1,0,1,0,0,0,1,0,1,0,0,1.0,2,0,0,0,0,0,0,2.0,0.4,-,99.00
ベルーナドーム,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,0,0,0,1,0,0,0,1.0,0.0,-,99.00
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
