条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.380,54,50,19,1,0,1,0,1,0,3,0,0.392
1-0より,.294,19,17,5,2,0,2,0,0,0,2,0,0.294
2-0より,.667,6,6,4,1,0,0,0,0,0,0,0,0.667
3-0より,-,6,0,0,0,0,0,0,6,0,0,0,1.0
0-1より,.241,30,29,7,2,0,0,0,0,0,0,1,0.233
1-1より,.182,34,33,6,1,0,2,0,0,0,1,0,0.182
2-1より,.412,17,17,7,0,0,0,0,0,0,0,0,0.412
3-1より,.750,6,4,3,1,0,0,0,2,0,0,0,0.833
0-2より,.385,26,26,10,1,0,0,9,0,0,0,0,0.385
1-2より,.176,52,51,9,1,1,0,18,0,1,0,0,0.192
2-2より,.224,50,49,11,4,0,1,14,0,0,0,1,0.22
3-2より,.267,36,30,8,2,0,1,7,6,0,0,0,0.389
