球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
神宮,0.38,24,0,24,2,0,15,0,17,2,2,0,23.2,10,0,30,9,1,1,1,0.8,0.135,-,23.67
東京ドーム,6.75,4,0,4,0,1,1,0,1,0,0,1,4.0,3,1,5,3,0,3,3,1.5,0.2,-,1.33
甲子園,0.00,3,0,3,0,0,3,0,3,0,0,0,3.0,0,0,6,0,0,0,0,0.0,0.0,-,99.00
横浜,0.00,4,0,4,0,0,4,0,4,0,0,0,3.2,0,0,4,2,0,0,0,0.55,0.0,-,99.00
マツダスタジアム,0.00,4,0,4,0,0,4,0,4,0,0,0,3.1,1,0,2,2,0,0,0,0.9,0.1,-,99.00
バンテリンドーム,3.00,4,0,4,0,0,0,0,0,0,0,0,3.0,4,0,4,1,1,1,1,1.67,0.308,-,3.00
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0.0,0.0,-,99.00
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,1,0,1,0,0,0,0,1.0,0.333,-,99.00
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
