球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
神宮,2.20,22,0,22,1,0,8,0,9,1,1,0,16.1,11,0,14,8,1,6,4,1.16,0.186,-,2.72
東京ドーム,22.50,2,0,2,0,1,0,0,0,0,0,1,2.0,7,0,1,1,1,5,5,4.00,0.583,-,0.40
甲子園,0.00,2,0,2,0,0,1,0,1,0,0,0,2.2,0,0,4,0,0,0,0,0.00,0.0,-,99.00
横浜,-,1,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,-,1.0,-,99.00
マツダスタジアム,0.00,3,0,3,0,0,1,0,1,0,0,0,3.0,1,0,2,0,0,0,0,0.33,0.1,-,99.00
バンテリンドーム,0.00,3,0,3,0,0,0,0,0,0,0,0,3.0,0,0,1,0,0,0,0,0.00,0.0,-,99.00
Ce その他,0.00,1,0,1,0,0,0,0,0,0,0,0,1.1,1,0,3,0,0,0,0,0.75,0.2,-,99.00
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0.0,-,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0.0,-,-
ZOZOマリン,0.00,2,0,2,0,0,1,0,1,0,0,0,1.0,0,0,0,1,0,0,0,1.00,0.0,-,99.00
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0.0,-,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0.0,-,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0.0,-,-
