守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,.333,1,3,3,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,.333,.667,1.0
三塁手,.094,10,37,32,2,3,1,0,0,4,0,6,3,0,0,2,0,0,0,2,.171,.125,0.296
遊撃手,.269,15,61,52,3,14,0,0,3,23,4,12,3,0,4,2,0,0,1,1,.356,.442,0.798
左翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.138,36,31,29,4,4,1,0,0,5,3,10,0,0,0,2,0,0,0,0,.138,.172,0.31
