条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.304,26,23,7,2,0,1,0,1,0,2,0,0.333
1-0より,.000,7,7,0,0,0,0,0,0,0,0,0,0.0
2-0より,.333,3,3,1,0,1,0,0,0,0,0,0,0.333
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.0
0-1より,.188,17,16,3,1,0,0,0,0,0,1,0,0.188
1-1より,.222,9,9,2,0,0,0,0,0,0,0,0,0.222
2-1より,.333,3,3,1,0,0,0,0,0,0,0,0,0.333
3-1より,.333,5,3,1,1,0,0,0,2,0,0,0,0.6
0-2より,.182,12,11,2,0,0,0,1,0,0,0,1,0.167
1-2より,.045,22,22,1,0,0,0,12,0,0,0,0,0.045
2-2より,.208,24,24,5,2,0,0,12,0,0,0,0,0.208
3-2より,.130,33,23,3,2,0,0,9,10,0,0,0,0.394
