条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.000,9,9,0,0,0,0,0,0,0,0,0,.000
1-0より,.333,3,3,1,0,0,0,0,0,0,0,0,.333
2-0より,1.000,1,1,1,0,0,1,0,0,0,0,0,1.000
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,1.000,2,2,2,1,0,0,0,0,0,0,0,1.000
1-1より,.400,10,10,4,0,0,0,0,0,0,0,0,.400
2-1より,.000,2,2,0,0,0,0,0,0,0,0,0,.000
3-1より,.250,4,4,1,1,0,0,0,0,0,0,0,.250
0-2より,.000,10,9,0,0,0,0,9,0,1,0,0,.100
1-2より,.067,15,15,1,0,0,0,10,0,0,0,0,.067
2-2より,.273,11,11,3,2,0,0,3,0,0,0,0,.273
3-2より,.111,10,9,1,0,0,0,5,1,0,0,0,.200
