球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,97,32.3%,148.2,18,11,23,27,53.6%,30.5%,.296,27,8,1,9,0,0
スライダー,39,13.0%,126.8,10,4,4,18,46.2%,58.8%,.167,6,1,0,3,0,0
カットボール,35,11.7%,137.4,5,1,17,6,65.7%,17.9%,.125,8,1,0,2,0,1
カーブ,21,7.0%,117.6,3,7,1,9,52.4%,60.0%,.000,4,0,0,3,0,0
スプリット,20,6.7%,138.6,7,0,3,8,50.0%,58.3%,.000,6,0,0,4,1,0
フォーク,19,6.3%,134.9,7,0,5,4,63.2%,46.7%,.200,5,1,0,2,0,0
チェンジアップ,19,6.3%,133.0,4,0,1,9,26.3%,40.0%,.000,6,0,0,1,0,0
シンカー,16,5.3%,133.0,3,0,4,7,43.8%,33.3%,.250,4,1,0,2,0,0
ツーシーム,16,5.3%,140.6,3,1,5,3,56.3%,25.0%,.200,5,1,0,1,0,0
ナックルカーブ,8,2.7%,127.4,1,0,1,5,25.0%,33.3%,.000,1,0,0,0,0,0
パワーカーブ,7,2.3%,128.0,1,1,0,3,28.6%,33.3%,.500,2,1,0,0,0,0
シュート,2,0.7%,142.0,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
パーム,1,0.3%,115.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
