球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,236,47.2%,146.4,17,48,48,86,47.9%,16.7%,.224,49,11,0,14,6,3
スライダー,62,12.4%,127.6,4,11,18,16,53.2%,11.4%,.400,15,6,0,2,0,0
カットボール,49,9.8%,136.3,7,9,8,11,49.0%,24.1%,.118,17,2,0,3,0,0
フォーク,45,9.0%,137.5,7,4,8,16,42.2%,28.0%,.300,10,3,0,1,0,0
カーブ,27,5.4%,116.5,2,7,2,11,40.7%,22.2%,.167,6,1,0,1,0,0
ツーシーム,27,5.4%,141.1,1,9,3,9,48.1%,11.1%,.167,6,1,0,1,0,0
チェンジアップ,20,4.0%,130.3,7,3,1,5,55.0%,58.3%,.143,7,1,0,3,0,0
シンカー,11,2.2%,135.9,1,1,2,6,36.4%,25.0%,.000,1,0,0,0,0,0
ナックルカーブ,10,2.0%,126.9,1,0,2,4,30.0%,16.7%,.500,4,2,0,1,0,1
スプリット,5,1.0%,137.2,1,1,1,2,60.0%,50.0%,-,0,0,0,0,0,0
シュート,5,1.0%,143.4,0,1,1,2,40.0%,0.0%,.000,1,0,0,0,0,0
縦スライダー,3,0.6%,131.7,1,1,1,0,100.0%,50.0%,.000,1,0,0,1,0,0
