条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.400,21,20,8,2,0,2,0,0,1,0,0,0.429
1-0より,.200,11,10,2,1,0,0,0,0,0,1,0,0.2
2-0より,.333,3,3,1,1,0,0,0,0,0,0,0,0.333
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.0
0-1より,.222,11,9,2,1,0,0,0,0,2,0,0,0.364
1-1より,.143,8,7,1,0,0,0,0,0,0,0,1,0.125
2-1より,.333,3,3,1,0,0,0,0,0,0,0,0,0.333
3-1より,.000,6,1,0,0,0,0,0,5,0,0,0,0.833
0-2より,.143,7,7,1,1,0,0,5,0,0,0,0,0.143
1-2より,.368,19,19,7,2,0,0,6,0,0,0,0,0.368
2-2より,.231,27,26,6,1,0,2,6,0,1,0,0,0.259
3-2より,.200,24,15,3,1,0,1,3,9,0,0,0,0.5
