球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
神宮,.167,17,52,48,6,8,2,0,2,16,3,16,2,0,2,0,0,0,0,0,.231,.333,0.564
東京ドーム,.167,3,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.167,.167,0.333
甲子園,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
横浜,.333,5,17,15,2,5,1,0,1,9,3,2,1,0,1,0,0,0,0,0,.412,.600,1.012
マツダスタジアム,.182,4,13,11,2,2,1,0,1,6,2,3,1,0,1,0,0,0,0,0,.308,.545,0.853
バンテリンドーム,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
Ce その他,.600,1,5,5,2,3,2,0,0,5,1,1,0,0,0,0,0,0,0,0,.600,1.000,1.6
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.250,2,9,8,1,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,.333,.250,0.583
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
