球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,215,48.6%,146.7,16,34,47,73,45.1%,14.8%,0.244,45,11,1,6,5,0
スライダー,52,11.8%,128.6,10,13,7,13,57.7%,38.5%,0.2,15,3,0,6,0,0
カットボール,45,10.2%,137.8,6,3,7,19,35.6%,26.1%,0.091,11,1,0,1,2,0
フォーク,28,6.3%,135.6,9,5,4,5,64.3%,50.0%,0.0,10,0,0,5,0,0
カーブ,23,5.2%,116.8,1,3,1,16,21.7%,25.0%,0.0,2,0,0,0,0,0
チェンジアップ,22,5.0%,132.8,5,3,1,7,40.9%,41.7%,0.143,7,1,0,1,0,0
ツーシーム,16,3.6%,145.8,0,3,3,7,37.5%,0.0%,0.5,2,1,0,0,0,0
ナックルカーブ,15,3.4%,123.5,3,4,0,5,46.7%,50.0%,0.0,6,0,0,3,0,0
スプリット,10,2.3%,138.9,0,1,3,4,40.0%,0.0%,0.5,2,1,0,0,0,0
シンカー,10,2.3%,133.8,2,2,1,4,50.0%,50.0%,0.0,1,0,0,1,0,0
パワーカーブ,4,0.9%,124.0,1,1,0,0,50.0%,33.3%,0.5,2,1,0,0,0,0
シュート,2,0.5%,-,0,0,1,0,50.0%,0.0%,0.0,1,0,0,0,0,0
