球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,253,38.7%,147.4,22,52,56,85,51.4%,19.0%,0.263,57,15,4,20,9,0
スライダー,96,14.7%,129.7,14,16,11,36,42.7%,31.8%,0.259,27,7,0,8,0,0
フォーク,84,12.9%,136.3,15,7,8,41,35.7%,41.7%,0.091,22,2,0,9,3,0
カットボール,65,10.0%,137.1,10,6,15,24,47.7%,28.6%,0.231,13,3,0,3,3,1
チェンジアップ,40,6.1%,132.7,6,2,10,15,45.0%,26.1%,0.333,9,3,0,2,1,0
カーブ,30,4.6%,119.8,0,8,4,13,40.0%,0.0%,0.333,6,2,1,1,1,0
スプリット,24,3.7%,140.9,6,1,3,12,41.7%,54.5%,0.25,4,1,0,2,0,0
ツーシーム,20,3.1%,142.0,2,3,4,9,45.0%,25.0%,0.0,2,0,0,0,0,1
ナックルカーブ,18,2.8%,126.4,4,4,2,6,55.6%,50.0%,0.0,5,0,0,3,0,0
シンカー,14,2.1%,134.8,1,2,2,6,35.7%,16.7%,0.667,3,2,0,0,1,0
シュート,9,1.4%,143.3,1,2,0,4,33.3%,33.3%,0.5,2,1,0,0,0,0
