条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.268,89,82,22,1,1,4,0,0,1,3,3,0.267
1-0より,0.372,45,43,16,3,0,4,0,0,0,2,0,0.372
2-0より,0.545,12,11,6,0,0,0,0,0,0,0,1,0.5
3-0より,0.0,11,2,0,0,0,0,0,9,0,0,0,0.818
0-1より,0.314,51,51,16,5,0,2,0,0,0,0,0,0.314
1-1より,0.333,46,45,15,1,1,3,0,0,0,1,0,0.333
2-1より,0.469,32,32,15,1,0,3,0,0,0,0,0,0.469
3-1より,0.7,31,10,7,2,0,2,0,21,0,0,0,0.903
0-2より,0.2,36,35,7,2,1,0,18,0,1,0,0,0.222
1-2より,0.176,91,91,16,2,0,1,31,0,0,0,0,0.176
2-2より,0.188,97,96,18,1,0,1,32,0,1,0,0,0.196
3-2より,0.113,78,53,6,0,2,0,11,24,0,0,1,0.385
