球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ZOZOマリン,2.26,16,16,0,7,4,0,0,0,0,0,0,111.1,76,6,118,35,3,31,28,1.0,0.192,4.21,-
みずほPayPay,1.50,1,1,0,0,0,0,0,0,0,0,0,6.0,8,1,5,2,0,4,1,1.67,0.296,5.14,-
エスコンＦ,2.25,1,1,0,0,0,0,0,0,0,0,0,8.0,7,1,11,1,0,2,2,1.0,0.226,2.00,-
楽天モバイル,4.50,1,1,0,0,1,0,0,0,0,0,0,4.0,8,0,1,2,0,3,2,2.5,0.4,0.00,-
京セラD大阪,9.00,1,1,0,0,1,0,0,0,0,0,0,5.0,11,1,3,0,1,5,5,2.2,0.478,0.00,-
ベルーナドーム,1.29,1,1,0,1,0,0,0,0,0,0,0,7.0,3,0,3,3,0,1,1,0.86,0.15,7.88,-
Pa その他,4.26,2,2,0,1,1,0,0,0,0,0,0,12.2,15,4,12,3,1,7,6,1.42,0.278,6.43,-
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,2.70,1,1,0,0,1,0,0,0,0,0,0,6.2,6,0,8,4,1,2,2,1.5,0.25,0.00,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
