球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,831,45.5%,147.2,38,171,214,256,50.9%,9.4%,0.264,178,47,1,29,20,2
スライダー,197,10.8%,129.7,22,50,30,68,51.8%,27.8%,0.214,42,9,2,15,2,3
フォーク,180,9.9%,136.4,30,24,31,51,47.2%,28.6%,0.14,57,8,0,14,1,0
カットボール,169,9.3%,137.4,12,29,42,53,49.1%,13.8%,0.389,36,14,0,3,0,0
チェンジアップ,134,7.3%,132.0,17,26,12,49,41.0%,28.8%,0.289,38,11,0,8,0,0
カーブ,100,5.5%,116.4,5,31,11,40,47.0%,17.2%,0.429,14,6,0,1,2,0
ツーシーム,94,5.1%,144.4,6,24,13,35,45.7%,17.1%,0.474,19,9,0,3,3,0
スプリット,31,1.7%,139.6,3,3,9,11,48.4%,17.6%,0.143,7,1,0,2,1,0
シンカー,28,1.5%,130.4,2,7,4,11,46.4%,20.0%,0.25,4,1,0,0,1,1
ナックルカーブ,24,1.3%,124.9,2,5,2,10,37.5%,22.2%,0.429,7,3,0,2,0,0
縦スライダー,21,1.1%,130.9,1,4,4,10,42.9%,14.3%,0.0,3,0,0,1,1,0
シュート,14,0.8%,140.9,2,6,2,4,71.4%,50.0%,0.0,2,0,0,2,0,0
スローカーブ,3,0.2%,90.0,0,1,1,0,66.7%,0.0%,1.0,1,1,1,0,0,0
高速スライダー,1,0.1%,136.0,0,0,0,0,0.0%,0.0%,1.0,1,1,0,0,0,0
