球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,269,43.4%,147.6,34,26,52,113,41.6%,26.2%,.286,56,16,2,12,4,0
フォーク,73,11.8%,135.9,16,4,16,27,49.3%,38.1%,.111,18,2,0,8,2,0
スライダー,72,11.6%,126.8,14,14,11,26,54.2%,43.8%,.091,11,1,0,5,3,0
カットボール,48,7.7%,135.9,6,8,8,17,45.8%,26.1%,.091,11,1,1,2,1,0
チェンジアップ,32,5.2%,133.3,3,3,5,11,34.4%,16.7%,.364,11,4,1,1,0,0
ツーシーム,31,5.0%,145.8,2,6,5,10,41.9%,13.3%,.111,9,1,0,1,0,0
カーブ,29,4.7%,116.8,6,8,4,6,62.1%,40.0%,.000,6,0,0,1,1,0
スプリット,24,3.9%,138.8,6,1,8,6,62.5%,35.3%,.167,6,1,0,3,0,0
シンカー,18,2.9%,132.5,1,2,4,6,38.9%,10.0%,.200,5,1,0,0,1,0
ナックルカーブ,9,1.5%,127.6,1,3,1,3,55.6%,33.3%,.000,2,0,0,1,1,0
シュート,7,1.1%,137.2,0,0,2,3,28.6%,0.0%,.000,2,0,0,0,0,0
縦スライダー,6,1.0%,132.3,1,1,2,1,66.7%,25.0%,1.000,1,1,1,0,0,0
パワーカーブ,1,0.2%,126.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
高速スライダー,1,0.2%,127.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
