球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ZOZOマリン,.210,39,119,105,8,22,6,0,2,34,8,21,10,1,3,1,0,2,0,0,.297,.324,0.62
みずほPayPay,.231,7,30,26,2,6,1,0,1,10,2,4,3,0,1,0,0,0,0,0,.333,.385,0.718
エスコンＦ,.333,3,11,9,0,3,0,0,0,3,2,1,1,0,0,1,0,0,0,0,.400,.333,0.733
楽天モバイル,.118,5,18,17,0,2,1,0,0,3,2,5,1,0,0,0,0,0,0,0,.167,.176,0.343
京セラD大阪,.222,3,11,9,1,2,0,0,0,2,0,2,1,0,0,1,0,1,0,0,.300,.222,0.522
ベルーナドーム,.231,8,29,26,2,6,0,0,1,9,4,5,2,0,0,0,1,0,0,0,.276,.346,0.622
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
東京ドーム,.000,2,5,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.000,.000,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
