条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.267,17,15,4,1,0,0,0,1,0,1,0,0.313
1-0より,.200,14,10,2,0,0,0,0,0,0,4,0,0.2
2-0より,.000,5,4,0,0,0,0,0,0,0,0,1,0.0
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.300,23,20,6,1,0,0,0,0,0,3,0,0.3
1-1より,.357,14,14,5,2,0,1,0,0,0,0,0,0.357
2-1より,.333,9,9,3,1,0,0,0,0,0,0,0,0.333
3-1より,.000,7,4,0,0,0,0,0,3,0,0,0,0.429
0-2より,.231,26,26,6,2,0,0,10,0,0,0,0,0.231
1-2より,.257,35,35,9,2,0,0,19,0,0,0,0,0.257
2-2より,.108,38,37,4,0,0,2,23,0,1,0,0,0.132
3-2より,.200,27,20,4,1,0,0,9,6,1,0,0,0.407
