球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ZOZOマリン,2.79,8,7,1,2,3,1,0,1,0,0,0,42.0,29,5,38,21,2,16,13,1.19,0.195,4.50,99.00
みずほPayPay,2.45,2,2,0,0,1,0,0,0,0,0,0,11.0,10,0,9,6,0,5,3,1.45,0.227,0.69,-
エスコンＦ,17.18,1,1,0,0,0,0,0,0,0,0,0,3.2,11,0,5,3,1,7,7,3.82,0.524,4.50,-
楽天モバイル,3.00,1,1,0,1,0,0,0,0,0,0,0,6.0,6,1,6,1,1,2,2,1.17,0.25,7.71,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,5.68,1,1,0,0,1,0,0,0,0,0,0,6.1,7,1,2,3,0,4,4,1.58,0.28,0.00,-
Pa その他,3.60,1,1,0,1,0,0,0,0,0,0,0,5.0,3,1,5,2,0,2,2,1.0,0.167,7.50,-
東京ドーム,3.86,2,2,0,1,0,0,0,0,0,0,0,11.2,9,4,8,4,2,5,5,1.11,0.214,3.75,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
