球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ZOZOマリン,.189,23,61,53,2,10,2,0,0,12,1,17,1,0,2,5,0,1,0,0,.232,.226,0.459
みずほPayPay,.250,5,16,16,2,4,1,0,0,5,1,3,0,0,0,0,0,0,0,0,.250,.313,0.563
エスコンＦ,.333,3,8,6,0,2,0,0,0,2,1,2,2,0,0,0,0,0,0,0,.500,.333,0.833
楽天モバイル,.000,2,7,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,.000,.000,0.0
京セラD大阪,.000,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
ベルーナドーム,.273,4,13,11,3,3,0,0,0,3,0,3,0,0,2,0,0,0,0,0,.385,.273,0.657
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
東京ドーム,.000,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
